THE_TE_UID,TERM,TERM_GD,POS_GD,KEYWORDS_GD,INDEX_TERM,SCOPE_NOTE,SCOPE_NOTE_GD,STATUS,ORIGIN,PROPOSED,WHEN_PROPOSED,ACCEPTED,DATE_ACCEPTED,COMMENTS,LIST_UID,ENTERED_DT,ENTERED_BY,UPDATED_DT,UPDATED_BY,SYNONYMS_GD
1760,PRIORY,,,,Y,"A lesser monastery headed by a prior, often linked to a cathedral or dependent on a mother house.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1763,RITUAL SITE,,,,Y,"A site used primarily for ritual, rather than domestic or industrial, purposes. Use specific term wherever possible.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1765,SANCTUARY,,,,Y,"A sacred or consecrated place, or a place of refuge.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1766,SANCTUARY MARKER,,,,Y,"A marker, usually in the shape of a cross, indicating the extent of an area of sanctuary.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1767,SESSION HOUSE,,,,Y,A building used as the meeting place of a religious body presiding over a local congregation.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1769,STANDING STONE,,,,Y,A stone that has been deliberately set upright in the ground. Use only for isolated stones. Otherwise use specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1770,STONE ROW,,,,Y,"A single line, or two or more roughly parallel lines, of standing stones set at intervals along a common axis or series of axes.",,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,21/08/2007 11:28,ANGELAG,
1772,FOUR POSTER STONE CIRCLE,,,,Y,"A setting of four upright stones standing at the corners of an irregular quadrilateral. May feature more than four stones, but those at the corners are always the most prominent.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1773,RECUMBENT STONE CIRCLE,,,,Y,"A stone circle which includes a prostrate stone flanked by two uprights, which are usually the tallest stones in the circle.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1774,STONE SETTING,,,,Y,An arrangement of two or more standing stones. Use specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1775,TRANSPORT,,,,N,This is the top term for the class. See TRANSPORT Class List for narrow terms.,,Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:32,ANGELAG,
1777,AIRFIELD,,,,Y,"An area used for the taking off and landing of aircraft. The site will often include associated buildings, equipment and other installations.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1778,AIRPORT,,,,Y,"An airfield for civilian aircraft, usually including a customs house and ancillary structures and buildings and passenger facilities.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1779,AIRSHIP SHED,,,,Y,Non-preferred term. Use AIRSHIP HANGAR.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 10:43,ANGELAG,
1780,AIRSHIP STATION,,,,Y,"An area of land containing Airship sheds, anchorage points and ancillary structures.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1781,CONTROL TOWER,,,,Y,A high building at an airport from which air traffic is controlled by radio.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1782,HANGAR,,,,Y,"A large shed for the housing of aircraft, etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1783,AIRCRAFT HANGAR,,,,Y,A structure or shed used to house and to service aircraft.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1784,RUNWAY,,,,Y,"A hard, level roadway or other surface from which aircraft take off and land.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1785,AIRCRAFT,,,,Y,"An aircraft, either whole or in part. Aircraft often survive as commemorative monuments, gate guardians or crash sites.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,20/02/2007 14:43,LEANNEM,
1786,BRIDGE,,,,Y,"A structure which spans and provides passage across an obstacle, such as a river, road, ravine or railway. Use specific term where known.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1788,CLAPPER BRIDGE,,,,Y,A simple form of stone slab bridge.,,Y,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,31/10/2006 14:04,LEANNEM,
1789,FOOTBRIDGE,,,,Y,A narrow bridge for people and animals to cross on foot.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1791,RAILWAY BRIDGE,,,,Y,"A bridge carrying a railway track across a river, valley, road etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1792,ROAD BRIDGE,,,,Y,A bridge carrying a road over land or water.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1793,SUSPENSION BRIDGE,,,,Y,"A bridge whose deck is hung from above by large cables, chains or pinned iron or steel bars suspended from towers.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1794,SWING BRIDGE,,,,Y,A movable bridge that swings or rotates around a central pier to provide a passageway for navigation.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1795,TRANSPORTER BRIDGE,,,,Y,A bridge consisting of a lattice girder spanning the distance between the tops of two towers. Designed to transport vehicles across the gap in a container suspended at road level under a travelling crane on the girder.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
2122,EARTHWORK CASTLE,,,,N,"Non-preferred term. Use EARTHWORK and/or CASTLE, or more specific term.",,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:34,ANGELAG,
2123,EARTHWORK FORTIFICATION,,,,N,"Non-preferred term. Use EARTHWORK and/or FORTIFICATION, or more specific term.",,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:34,ANGELAG,
2133,FAIRGROUND,,,,N,Non-preferred term. Use FAIR.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:38,ANGELAG,
2141,FIRING TARGET,,,,N,Non-preferred term. Use TARGET.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 13:42,ANGELAG,
2143,FISH CURING HOUSE,,,,N,Non-preferred term. Use FISH CURING BUILDING or SMOKEHOUSE where appropriate.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,27/06/2007 14:57,LEANNEM,
2158,FOOT MARKED STONE,,,,N,Non-preferred term. Use FOOTPRINT.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 14:12,ANGELAG,
2168,GATHERING SITE,,,,N,Non-preferred term. Use MEETING PLACE.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 14:22,ANGELAG,
2218,LEATHER MILL,,,,N,Non-preferred term. Use LEATHER FACTORY.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 06:54,ANGELAG,
2235,MALT BARN,,,,N,Non-preferred term. Use MALTINGS.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 11:52,ANGELAG,
554,TREE AVENUE,,,,Y,A road or street lined with trees along either side.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
560,FOUNTAIN,,,,Y,"An artificial aperture from which water springs, commonly used as an ornament in a garden, park or public space.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
570,BOATHOUSE,,,,Y,A house or shelter for the storage and/or launching of boats.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
574,GARDEN TEMPLE,,,,Y,"A garden building, usually in the Gothic or classical style. The term can be applied to many types of garden building with an interior space in which to stand or sit.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
583,SUMMERHOUSE,,,,Y,A building in a garden or park designed to provide a shady retreat from the heat of the sun.,,Y,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,31/10/2006 15:45,LEANNEM,
612,LAMP POST,,,,Y,"A post, usually of iron or concrete, used to support a street lamp.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
623,ZOO,,,,Y,"A garden or park, with ancilliary buildings, in which wild animals are kept and reared for public exhibition.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
629,PITHEAD BATHS,,,,Y,"A building containing colliery showers for miners, also often containing first-aid and mine-rescue facilities.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
635,HOSPICE,,,,Y,An establishment providing care for the terminally ill.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
218,COMMERCIAL PREMISES,,,,Y,A building and associated land which are used as a place of business.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
221,FISH MARKET,,,,Y,A market where fish is sold.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
223,LIVESTOCK MARKET,,,,Y,"A market where cattle, pigs, sheep and poultry are bought and sold.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
228,SHOP,,,,Y,A house or building where goods are made or prepared and displayed for sale and sold. Use more specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
232,EATING AND DRINKING ESTABLISHMENT,,,,Y,For commercial or non-commercial use. See narrow terms in each class.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
236,EXCHANGE,,,,Y,"A multi-purpose commercial building, used primarily as a trading place for merchants, but also incorporating shops, public offices, guildhalls, etc.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
242,LAUNDRY,,,,Y,"A room or building where clothing and other fabrics are washed, mangled, steamed and ironed.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
245,RETAIL PARK,,,,Y,"A site comprising a number of large, separate, purpose-built retail units, together with access roads, parking facilities and other amenities.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
251,BONDED WAREHOUSE,,,,Y,A warehouse in which goods are stored before the duty has been paid. Often found at ports and airports.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
275,TELEPHONE BOX,,,,Y,"A freestanding public call box, containing a telephone.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
278,DEFENCE,,,,N,This is the top term for the class. See DEFENCE Class List for narrow terms.,,Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:15,ANGELAG,
279,ANTI AIRCRAFT DEFENCES,,,,Y,Specialist defences designed to protect against airborne attack.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
283,BARRAGE BALLOON SITE,,,,Y,A site where a single large balloon was attached by wire cables to the ground to form an aerial obstruction to attacking enemy aircraft.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
289,COASTAL BATTERY,,,,Y,A defensive gun battery positioned on the coast and facing out to sea.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
294,BOMB CRATER,,,,Y,A depression in the ground caused by the explosion of a mine or bombshell.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
500557,DERRICK,,,,Y,A structure consisting of a vertical mast and a horizontal boom operated by cables on a separate engine or motor. Used for hoisting and moving heavy loads or objects.,,Y,EH,,,,,,1,27/10/2006 13:18,LEANNEM,27/10/2006 13:18,LEANNEM,
500558,DEWPOND,,,,Y,"A shallow pond, often artificial, fed by the condensation of water from the air, occurring on high land which has no other adequate water supply.",,Y,EH,,,,,,1,27/10/2006 13:28,LEANNEM,12/07/2007 12:48,LEANNEM,
500559,DRAWBRIDGE,,,,Y,A movable bridge lifted at one end by chains or ropes either to stop traffic passing over it or to let traffic pass under it.,,Y,EH,,,,,,1,27/10/2006 13:29,LEANNEM,27/10/2006 13:30,LEANNEM,
500560,ELECTRICITY SUB STATION,,,,Y,Building containing transformers to reduce the high voltage of the National Grid to the lower voltage of domestic supply.,,Y,EH,,,,,,1,27/10/2006 13:31,LEANNEM,27/10/2006 13:31,LEANNEM,
500561,TRANSFORMER STATION,,,,Y,A building housing transformers to convert AC electricity supply for domestic use.,,Y,EH,,,,,,1,27/10/2006 13:33,LEANNEM,27/10/2006 13:33,LEANNEM,
500562,SQUARE ENCLOSURE,,,,Y,"A square shaped area of land enclosed by a boundary ditch, bank, wall, palisade or similar barrier. Small square enclosures (with sides of less than c.20m) have been interpreted as the remains of square barrows of Iron Age date.",,Y,EH,,,,,,1,27/10/2006 13:41,LEANNEM,27/10/2006 13:41,LEANNEM,
500563,FERNERY (GARDEN),,,,Y,Area of a garden for the cultivation of ferns.,,Y,EH,,,,,,1,27/10/2006 13:44,LEANNEM,27/10/2006 13:45,LEANNEM,
500564,FERNERY (GLASSHOUSE),,,,Y,A glasshouse for the cultivation of ferns.,,Y,EH,,,,,,1,27/10/2006 13:45,LEANNEM,27/10/2006 13:46,LEANNEM,
500565,FERRY TERMINAL,,,,Y,"An area of a port, dock or harbour, often including buildings for passport control and customs, where passengers and vehicles using ferry services can embark/disembark and where supplies can be taken on board.",,Y,EH,,,,,,1,27/10/2006 13:47,LEANNEM,27/10/2006 13:47,LEANNEM,
500566,FISH HOUSE,,,,Y,A building used for the storage of fish.,,Y,EH,,,,,,1,27/10/2006 13:47,LEANNEM,27/10/2006 13:48,LEANNEM,
500567,FLOATING CRANE,,,,Y,A dockyard crane permanently mounted on a lighter.,,Y,EH,,,,,,1,27/10/2006 13:51,LEANNEM,27/10/2006 13:51,LEANNEM,
500568,FLOATING DOCK,,,,Y,"A floating structure consisting of two walls standing on pontoon tanks, the latter of which can be flooded to receive a vessel and then pumped out until the pontoon deck and the ship are dry.",,Y,EH,,,,,,1,27/10/2006 13:57,LEANNEM,27/10/2006 13:58,LEANNEM,
500569,FORTIFIED MANOR HOUSE,,,,Y,"A manor house, which was granted a royal licence to crenellate.",,Y,EH,,,,,,1,27/10/2006 13:59,LEANNEM,27/10/2006 13:59,LEANNEM,
500570,MANOR HOUSE,,,,Y,The principal house of a manor or village.,,Y,EH,,,,,,1,27/10/2006 14:03,LEANNEM,27/10/2006 14:03,LEANNEM,
500571,FRIENDS MEETING HOUSE,,,,Y,"A place of worship for members of the Society of Friends, a denomination founded by George Fox in c.1650 who believed in passivist principles and a rejection of the sacrament.",,Y,EH,,,,,,1,27/10/2006 14:17,LEANNEM,27/10/2006 14:18,LEANNEM,
500572,QUAKER MEETING HOUSE,,,,Y,Non-preferred term. Use FRIENDS MEETING HOUSE.,,N,EH,,,,,,1,27/10/2006 14:19,LEANNEM,18/07/2007 07:08,ANGELAG,
500574,GATEHOUSE,,,,Y,A gateway with one or more chambers over the entrance arch; the flanking towers housing stairs and additional rooms. Use with wider site type where known.,,Y,EH,,,,,,1,27/10/2006 14:20,LEANNEM,27/10/2006 14:22,LEANNEM,
500575,ABBEY GATEHOUSE,,,,Y,Non-preferred term. Use GATEHOUSE.,,N,EH,,,,,,1,27/10/2006 14:49,LEANNEM,17/07/2007 12:36,ANGELAG,
500580,MONASTERY GATEHOUSE,,,,Y,Non-preferred term. Use GATEHOUSE.,,N,EH,,,,,,1,27/10/2006 14:52,LEANNEM,17/07/2007 14:23,ANGELAG,
500582,GOLF CLUB,,,,Y,"A golf course, clubhouse and ancillary buildings.",,Y,EH,,,,,,1,27/10/2006 14:57,LEANNEM,20/04/2007 13:52,LEANNEM,
500583,GOOD STATION,,,,Y,A railway station or platform built specifically for the loading and unloading of goods.,,Y,EH,,,,,,1,27/10/2006 15:01,LEANNEM,27/10/2006 15:01,LEANNEM,
500584,GOODS YARD,,,,Y,A site where merchandise and goods are temporarily stored before or after transportation by rail.,,Y,EH,,,,,,1,27/10/2006 15:02,LEANNEM,27/10/2006 15:02,LEANNEM,
500585,GOODS STATION,,,,Y,A railway station or platform built specifically for the loading and unloading of goods.,,Y,EH,,,,,,1,27/10/2006 15:04,LEANNEM,27/10/2006 15:05,LEANNEM,
2384,TELEVISION MAST,,,,N,Non-preferred term. Use BROADCASTING TRANSMITTER.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 10:32,ANGELAG,
2385,TELEVISION STATION,,,,N,Non-preferred term. Use BROADCASTING TRANSMITTER.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:29,ANGELAG,
2386,TEMPLE MAUSOLEUM,,,,N,Non-preferred term. Use MAUSOLEUM.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:29,ANGELAG,
2389,THREAD MILL,,,,N,Non-preferred term. Use THREAD WORKS.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:29,ANGELAG,
2390,TIDAL MILL,,,,N,Non-preferred term. Use TIDE MILL.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:30,ANGELAG,
2402,TUMULUS,,,,N,Non-preferred term. Use BARROW.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:30,ANGELAG,
2403,TURF STELL,,,,N,Non-preferred term. Use SHEEPFOLD.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:30,ANGELAG,
2414,WALL FOUNDATIONS,,,,N,Non-preferred term. Use WALL.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:31,ANGELAG,
2427,WIRE MILL,,,,N,Non-preferred term. Use WIRE WORKS.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:31,ANGELAG,
503681,RAILWAY TURNTABLE,,,,Y,"A piece of machinery on which a railway engine, carriage or wagon can be rotated at a railway terminal.",,Y,EH,,,,,,1,09/10/2008 09:30,LEANNEM,09/10/2008 09:30,LEANNEM,
503682,CHAUFFEURS HOUSE,,,,Y,The residence of a chauffeur or driver,,Y,EH,,,,,,1,09/10/2008 09:38,LEANNEM,09/10/2008 09:38,LEANNEM,
503683,MINIATURE RAILWAY,,,,Y,"A small-scale railway, often for the transportation of children at a place of recreation.",,Y,EH,,,,,,1,09/10/2008 09:44,LEANNEM,09/10/2008 09:44,LEANNEM,
503621,COURTYARD HOUSE,,,,Y,"A building or buildings ranged around a courtyard on at least three sides. They occur in the Iron Age, as well as being an influential plan type of house from the 15th century onwards. Index with appropriate period.",,Y,EH,,,,,,1,23/09/2008 12:03,LEANNEM,23/09/2008 12:05,LEANNEM,
503622,YARD HOUSE,,,,Y,Non-preferred term. Use COURTYARD HOUSE,,N,,,,,,,1,23/09/2008 12:06,LEANNEM,23/09/2008 12:07,LEANNEM,
503623,WORKHOUSE,,,,Y,Non-preferred term. Use POOR HOUSE,,N,,,,,,A preferred term for EH but POOR HOUSE is the more common term used in Scotland.,1,23/09/2008 12:22,LEANNEM,23/09/2008 12:35,LEANNEM,
2429,WOODLAND,,,,N,Non-preferred term. Use WOOD.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:31,ANGELAG,
2236,MANSION,,,,N,Non-preferred term. Use COUNTRY HOUSE.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:33,ANGELAG,
2237,MANURE PIT,,,,N,Non-preferred term. Use DUNG PIT.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:33,ANGELAG,
2251,MOTOR CAR FACTORY,,,,N,Non-preferred term. Use CAR FACTORY.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:34,ANGELAG,
2252,MOTOR RACING CIRCUIT,,,,N,Non-preferred term. Use RACING CIRCUIT.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:35,ANGELAG,
2256,MUNITIONS DEPOT,,,,N,Non-preferred term. Use ARMAMENT DEPOT.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:36,ANGELAG,
2309,REFUSE DUMP,,,,N,Non-preferred term. Use REFUSE DISPOSAL SITE.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:38,ANGELAG,
502140,HERBARIUM,,,,Y,A building or room containing a collection of preserved plants (usually pressed and dried specimens).,,Y,EH,,,,,,1,15/05/2007 09:26,LEANNEM,15/05/2007 09:26,LEANNEM,
502142,HYDRAULIC RAM,,,,Y,"Large piston used to operate lifting bridges, lock gates, etc.",,Y,EH,,,,,,1,15/05/2007 09:31,LEANNEM,15/05/2007 09:31,LEANNEM,
502143,HYDROELECTRIC POWER STATION,,,,Y,Power generation by releasing stored water through a turbine driving a generator.,,Y,EH,,,,,,1,15/05/2007 09:32,LEANNEM,15/05/2007 09:33,LEANNEM,
502144,HYDROPATHIC INSTITUTE,,,,Y,"A 19th century spa building, usually consisting of a hotel with baths used for water treatment.",,Y,EH,,,,,,1,15/05/2007 10:00,LEANNEM,15/05/2007 10:00,LEANNEM,
502145,INSCRIBED ROCK,,,,Y,A rock outcrop or cave wall bearing an inscription. Use more specific term where appropriate.,,Y,RCAHMS,,,,,,1,15/05/2007 10:03,LEANNEM,12/07/2007 12:53,LEANNEM,
502146,JOINERS SHOP,,,,Y,A workshop used by a joiner; a craftsman working with wood and producing more ornate work than that of a carpenter.,,Y,EH,,,,,,1,15/05/2007 10:05,LEANNEM,15/05/2007 10:05,LEANNEM,
502148,LABORATORY,,,,Y,"A group of buildings or rooms equipped with apparatus for scientific experiments or other research, testing and investigations.",,Y,EH,,,,,,1,15/05/2007 10:18,LEANNEM,15/05/2007 10:18,LEANNEM,
502149,LABOUR EXCHANGE,,,,Y,"An employment exchange for unemployed labourers, servicemen, etc.",,Y,EH,,,,,,1,15/05/2007 10:21,LEANNEM,15/05/2007 10:21,LEANNEM,
502151,LETTER BOX,,,,Y,A box in which letters are deposited on delivery.,,Y,EH,,,,,,1,15/05/2007 11:01,LEANNEM,15/05/2007 11:01,LEANNEM,
502154,MINT,,,,Y,A place where money is coined under public authority.,,Y,EH,,,,,,1,15/05/2007 12:56,LEANNEM,15/05/2007 12:56,LEANNEM,
502153,MASH HOUSE,,,,Y,A brewery building where malt is mixed with hot water to form wort.,,Y,eh,,,,,,1,15/05/2007 11:18,LEANNEM,15/05/2007 11:19,LEANNEM,
502155,ROYAL MINT,,,,Y,Non-preferred term. Use MINT.,,N,,,,,,,1,15/05/2007 12:58,LEANNEM,18/07/2007 09:21,ANGELAG,
502156,MORTUARY,,,,Y,"A building or room used for holding, viewing or identifying dead bodies prior to burial or cremation.",,Y,EH,,,,,,1,15/05/2007 13:02,LEANNEM,15/05/2007 13:02,LEANNEM,
502157,HOSPITAL BUILDING,,,,Y,A hospital building of uncertain function. Use more specific type if known.,,Y,EH,,,,,,1,15/05/2007 13:02,LEANNEM,15/05/2007 13:03,LEANNEM,
502158,MOTEL,,,,Y,"A long, low-rise building consisting of rows of attached individual suites of rooms used for overnight accommodation by motorists.",,Y,EH,,,,,,1,15/05/2007 13:04,LEANNEM,15/05/2007 13:04,LEANNEM,
2329,ROYALTY STONE,,,,N,Non-preferred term. Use BOUNDARY STONE.,,N,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:21,ANGELAG,
2306,RAILWAY SIGNAL BOX,,,,N,Non-preferred term. Use SIGNAL BOX.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 11:54,ANGELAG,
2280,PEAT BANK,,,,N,Non-preferred term. Use PEAT CUTTING.,,N,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,17/07/2007 11:53,ANGELAG,
1961,POND,,,,Y,A body of still water often artificially formed for a specific purpose. Use specific type where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,12/07/2007 12:49,LEANNEM,
1932,GRAFFITI,,,,Y,"Casual scribbles or pictographs on ancient walls, stones or other surfaces. In more recent times applied to humorous, satiric or obscene writings or drawings executed anonymously in public places.",,Y,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,12/07/2007 12:51,LEANNEM,
2250,MONUMENTAL SCULPTORS WORKS,,,,N,Non-preferred term. Use STONEMASONS YARD.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:27,ANGELAG,
2262,NORSE HOUSE,,,,N,"Non-preferred term. Use HOUSE, with Norse in a period field.",,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,28/06/2007 15:02,LEANNEM,
2269,ORATORY,,,,N,Non-preferred term. Use PRIVATE CHAPEL.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 09:44,ANGELAG,
2272,ORTHOSTATIC WALL,,,,N,Non-preferred term. Use WALL.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 07:06,ANGELAG,
2274,OUT WORK,,,,N,Non-preferred term. Use OUTWORKS.,,N,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:49,ANGELAG,
1798,INCLINED PLANE,,,,Y,A prepared slope on which rails are laid to enable early tramroads and railways to negotiate a steep gradient.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1799,LIFTING AND WINDING STRUCTURE,,,,Y,"Structures used for the lifting or hoisting of goods, machinery, vehicles, people and livestock.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1802,ELEVATOR CONVEYOR SYSTEM,,,,Y,A system of conveyor belts for moving materials against a gradient.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1803,GANTRY,,,,Y,A frame or platform for carrying a crane or similar structure.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1804,GRAIN ELEVATOR,,,,Y,A machine used for the loading and unloading of grain to and from a warehouse.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1805,LIFT,,,,Y,A structure consisting of a box or platform for carrying goods or passengers from one level to another. Use specific term where known.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1807,WINCH,,,,Y,"A stationary hoisting machine consisting of a rotating drum around which a cable, rope or chain is attached.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1808,HAND WINCH,,,,Y,"A mechanism used for lifting and lowering weights, operated by hand.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1810,PATH,,,,Y,"A way made for pedestrians, especially one merely made by walking (often not specially constructed).",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1811,RAILWAY TRANSPORT SITE,,,,Y,"Buildings, sites and structures associated with railway transport.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1812,ENGINE SHED,,,,Y,A building used to house railway engines.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1814,LEVEL CROSSING,,,,Y,A controlled point with warning lights and gates or barriers where a road crosses a railway line.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1815,RAILWAY,,,,Y,"A line or track consisting of iron or steel rails, on which passenger carriages or goods wagons are moved, usually by a locomotive engine.",,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1817,MONORAIL,,,,Y,A single track railway.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1819,RAILWAY CUTTING,,,,Y,An artificial excavation cut through steep or uneven ground to make a way for a railway track.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1821,RAILWAY JUNCTION,,,,Y,A place where two or more railways meet.,,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
1822,RAILWAY PLATFORM,,,,Y,"A raised floor along the side of a line at a railway station, for convenience in entering and alighting from a train.",,Y,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,20/04/2007 13:53,LEANNEM,
